,cae_mean,cae_std,ce_mean,ce_std
0.0,74.17958395892616,1.4210854715202004e-14,91.85319978840242,1.4210854715202004e-14
0.0025,80.83731399146737,2.4476541011011754,155.34916998397614,7.041598099336721
0.005,98.22502794887227,5.82853466137934,270.44315482404573,17.504851956485883
0.0075,127.39947340177805,11.805958253059666,356.3027044093059,22.44512059002957
0.01,176.9630706177072,24.02625175138017,424.0652943274308,18.703908807383804
0.02,411.7511223194099,79.60535999729477,574.7435888321543,19.50328511035358
0.03,621.7846238141555,133.7028511850165,635.3020488971415,17.027438774089717
