#{"t_start": 1741225153.7852576, "env_id": "None"}
r,l,t
-94.579956,10,2.152645
-93.992226,18,2.192344
-116.018074,11,2.192364
-96.14675,13,2.192369
-87.45454,17,2.192374
-104.27061,7,2.220152
-99.38922,11,2.288726
-117.1938,12,2.314054
-117.42584,20,2.314074
-94.77389,21,2.368327
-85.48587,20,2.38162
-84.842285,18,2.438398
-101.25059,18,2.438417
-105.16327,5,2.452343
-89.37421,19,2.45236
-116.07247,21,2.47964
-104.936134,20,2.492489
-107.37489,16,2.506435
-112.65248,17,2.549963
-105.92537,20,2.58964
-105.5529,4,2.602906
-97.14718,12,2.616045
-108.00575,4,2.658052
-89.83543,17,2.671283
-92.48779,14,2.685362
-95.07613,17,2.711317
-94.74843,26,2.724966
-107.924736,23,2.753815
-103.63486,3,2.795679
-110.00188,13,2.795699
-99.91748,9,2.809401
-109.004036,24,2.835153
-98.71541,28,2.835172
-88.69501,19,2.849522
-93.56381,12,2.87682
-106.018,7,2.890113
-114.81287,19,2.917202
-109.237335,8,2.944025
-107.65621,7,2.944043
-98.23831,16,2.944049
-106.63551,4,2.973729
-105.5317,7,2.973748
-103.9053,10,2.973753
-99.070656,8,3.001743
-92.38967,25,3.015926
-102.42674,7,3.042096
-84.895065,21,3.096683
-103.65851,24,3.123369
-105.36414,13,3.148567
-103.09275,21,3.230367
-95.6136,20,3.243603
-94.89305,22,3.243621
-92.30138,17,3.273883
-110.9757,9,3.273902
-85.200226,20,3.287805
-101.61651,23,3.287824
-118.31502,22,3.300801
-104.86526,4,3.327169
-101.06424,18,3.340289
-107.97148,16,3.340307
-101.38705,7,3.395632
-98.68906,13,3.423377
-99.52047,15,3.450149
-107.0695,18,3.480752
-117.19103,19,3.535411
-85.749374,19,3.548485
-104.79652,19,3.548503
-97.787605,15,3.54851
-110.45345,7,3.548514
-97.53207,18,3.589671
-112.324486,12,3.58969
-98.833984,22,3.629444
-103.66388,4,3.642545
-101.60364,11,3.696607
-94.837395,12,3.696627
-95.99072,23,3.709763
-99.110756,13,3.723522
-102.71487,21,3.762754
-99.79261,10,3.775652
-100.59772,8,3.805298
-95.33184,16,3.805318
-100.65332,22,3.845177
-88.0294,17,3.858031
-84.910225,24,3.870945
-98.09192,12,3.92798
-109.27357,20,3.966949
-101.121254,18,3.966968
-94.6955,15,3.980494
-106.88304,8,3.980512
-97.6912,14,3.995884
-107.78078,12,4.00853
-91.278305,22,4.008548
-107.0713,6,4.048746
-84.09146,19,4.062746
-91.535995,12,4.090041
-107.05243,7,4.105243
-112.036545,7,4.14422
-88.251465,22,4.157022
-98.12725,14,4.157044
-107.80525,13,4.170164
-94.599945,17,4.212135
-101.58015,15,4.394976
-112.36618,23,4.408211
-83.96598,20,4.421661
-87.67969,28,4.449684
-81.049576,22,4.475996
-93.32573,18,4.491455
-102.21501,8,4.505485
-99.23776,21,4.51892
-93.895226,20,4.532359
-93.81433,22,4.545808
-106.076065,9,4.572925
-110.35221,13,4.60152
-82.11374,22,4.60154
-103.161766,11,4.667098
-106.82621,6,4.680615
-105.29997,9,4.696305
-105.53121,8,4.710021
-89.48834,18,4.723403
-81.63388,25,4.74977
-115.76296,16,4.749789
-109.810555,16,4.763805
-99.04136,20,4.777004
-103.325066,22,4.789335
-105.85013,11,4.870043
-105.207924,7,4.883497
-107.71408,10,4.883515
-110.80187,16,4.88352
-124.83334,15,4.896728
-109.69067,16,4.896747
-105.464584,4,4.938446
-105.65179,6,4.965639
-86.83407,17,4.978831
-108.28423,8,4.991977
-107.4312,9,4.991996
-94.35489,22,5.074287
-89.641945,23,5.074307
-106.765785,8,5.087305
-94.88245,29,5.099913
-107.53879,9,5.116524
-115.18232,18,5.141544
-104.85449,6,5.155032
-118.38588,19,5.194716
-101.07284,23,5.207898
-112.54701,10,5.236344
-108.976074,11,5.236363
-100.04852,18,5.23637
-109.016174,6,5.27605
-104.72988,6,5.288686
-105.62246,6,5.318826
-109.05273,28,5.347121
-103.232414,5,5.34714
-96.82242,10,5.373392
-124.08931,17,5.387039
-92.62521,22,5.414174
-87.208145,27,5.444133
-106.11643,4,5.444155
-105.87756,7,5.470312
-99.96646,17,5.470331
-104.566025,9,5.470336
-93.32415,16,5.509417
-95.593216,13,5.522573
-72.90092,30,5.551417
-91.69144,18,5.563663
-97.99317,15,5.617089
-114.11878,10,5.659286
-102.93702,9,5.672112
-101.70621,13,5.68625
-101.51335,19,5.699316
-96.650894,11,5.712001
-102.8098,19,5.726074
-87.72353,21,5.726092
-101.195244,19,5.726098
-100.48119,22,5.767795
-106.29858,8,5.820899
-103.20937,16,5.835581
-100.80323,12,5.835599
-99.18149,8,5.835605
-104.42815,4,5.893885
-95.75104,16,5.907667
-102.591644,6,5.920403
-115.832535,20,5.93364
-87.71129,16,5.947021
-107.45671,5,5.961144
-105.66592,19,5.987498
-105.3606,24,6.026948
-105.94665,8,6.026967
-107.52599,11,6.084566
-102.31172,11,6.09827
-96.34576,24,6.098288
-83.46281,21,6.112089
-107.62692,22,6.140226
-97.11877,13,6.170435
-114.58075,12,6.197734
-103.13215,5,6.211128
-99.960266,9,6.211147
-85.47109,23,6.224478
-78.35286,21,6.250889
-101.57582,11,6.26442
-103.10995,13,6.280647
-95.584465,19,6.293917
-105.69923,4,6.345852
-88.925095,17,6.403546
-109.40715,14,6.403565
-108.217575,22,6.403571
-115.50906,15,6.456789
-108.243004,6,6.485012
-95.1082,20,6.497996
-94.29281,23,6.510797
-97.23966,23,6.523394
-104.95608,10,6.536645
-98.76312,16,6.563928
-97.1946,21,6.563947
-103.28839,6,6.608761
-103.587975,5,6.635337
-111.63406,27,6.635356
-104.5723,10,6.649832
-106.32859,8,6.64985
-81.06703,20,6.677506
-92.03895,14,6.691094
-99.63744,17,6.691113
-103.337715,4,6.708279
-100.26974,16,6.708298
-103.83946,3,6.721608
-102.48188,10,6.749258
-100.86715,8,6.749278
-102.4876,6,6.789836
-104.59985,5,6.821974
-95.91966,11,6.848816
-114.93193,25,6.919719
-88.25009,19,6.919739
-84.78302,18,6.944752
-93.211754,22,6.944772
-99.32867,18,6.971638
-103.11619,10,6.984674
-89.10988,19,7.011621
-120.1012,22,7.01164
-108.81019,7,7.011647
-93.69829,16,7.041267
-106.65437,11,7.068377
-101.96327,6,7.068401
-106.87639,21,7.081298
-102.57215,12,7.107745
-111.93116,9,7.137014
-100.354546,8,7.15015
-108.90119,5,7.203103
-95.632164,18,7.216166
-109.10893,17,7.245411
-86.96608,18,7.258679
-113.93213,9,7.271831
-109.67108,16,7.284357
-102.87423,7,7.29716
-115.33715,17,7.311187
-103.44135,27,7.311208
-100.09043,22,7.367552
-101.84158,7,7.38033
-107.20015,21,7.39367
-101.37383,8,7.406779
-122.08888,15,7.448662
-103.76854,7,7.461304
-93.01188,17,7.487682
-96.34729,13,7.487701
-96.48781,22,7.515657
-102.805595,6,7.545243
-102.24072,22,7.571578
-103.11359,21,7.597593
-97.361176,11,7.597612
-95.24276,16,7.611778
-103.359695,6,7.624339
-100.36626,8,7.681542
-112.32519,14,7.681561
-106.885254,23,7.69562
-88.241684,21,7.695639
-114.69264,8,7.708987
-111.02003,7,7.722768
-90.7507,17,7.749346
-100.20508,12,7.765565
-104.97488,5,7.778917
-104.250534,5,7.793705
-92.66583,15,7.821363
-106.90629,4,7.834321
-89.56064,27,7.863445
-99.75077,18,7.93014
-118.75043,13,7.972745
-84.58801,20,7.972763
-116.66372,22,7.998587
-114.238365,17,7.998606
-94.90347,22,8.052633
-109.16288,28,8.066303
-105.72571,5,8.067462
-102.79998,7,8.067483
-105.10772,19,8.095461
-109.30015,13,8.108776
-108.16352,21,8.108794
-106.60917,11,8.149806
-99.28006,7,8.163775
-98.79447,14,8.163794
-101.938446,8,8.179554
-103.38373,26,8.220114
-113.81517,10,8.233123
-101.46724,6,8.246014
-105.741005,8,8.276663
-96.52868,10,8.291087
-88.64308,19,8.318533
-99.99988,10,8.318553
-87.18687,18,8.318558
-106.45294,6,8.331647
-94.88779,17,8.345443
-102.53301,11,8.371506
-99.92078,8,8.400041
-103.614624,21,8.400061
-101.44657,14,8.425496
-96.51363,13,8.45208
-106.800385,11,8.46547
-107.8634,5,8.525857
-105.607376,4,8.525877
-96.22216,15,8.525883
-102.76609,10,8.538793
-102.982254,12,8.564351
-98.91426,10,8.56437
-90.87821,19,8.593762
-102.79209,21,8.607067
-92.96451,20,8.620688
-113.16168,9,8.648606
-110.85535,10,8.661837
-104.40311,11,8.688088
-111.00456,27,8.744386
-105.77794,7,8.783503
-90.28546,16,8.783521
-92.56031,19,8.783527
-93.29732,15,8.796233
-111.8366,20,8.839415
-84.05922,17,8.85327
-101.99613,5,8.853288
-102.934906,19,8.866569
-101.72408,17,8.879232
-104.21192,3,8.879251
-109.549,7,8.879256
-98.769264,9,8.924315
-104.31158,5,8.924335
-106.392456,20,8.937974
-105.34138,4,8.937994
-117.120094,16,8.9643
-108.15015,11,9.003834
-108.335815,9,9.00386
-99.43129,6,9.016714
-104.5176,7,9.032368
-101.620926,16,9.08617
-106.91009,14,9.113244
-121.18778,15,9.130735
-104.49027,8,9.130769
-87.97218,18,9.130779
-99.21254,11,9.156392
-107.78951,9,9.212384
-103.363556,7,9.212404
-94.67752,18,9.255082
-116.86321,21,9.255102
-103.07189,10,9.26793
-94.01335,17,9.267949
-74.352844,36,9.28098
-107.03619,10,9.34989
-112.12651,10,9.349909
-105.846405,17,9.363302
-100.48253,20,9.431564
-95.88312,23,9.446717
-98.68558,16,9.472137
-103.75882,4,9.485952
-97.05975,11,9.499226
-96.773674,11,9.499245
-84.556335,20,9.525715
-91.64608,20,9.538594
-86.78175,21,9.5544
-106.95414,5,9.568808
-106.21942,6,9.568827
-95.467674,22,9.581414
-99.10641,9,9.594661
-109.58475,6,9.608072
-107.523605,6,9.633313
-91.44153,21,9.646168
-104.63478,8,9.646186
-108.838776,6,9.676119
-89.87183,20,9.715633
-109.28612,10,9.715652
-100.72479,16,9.715658
-112.89597,7,9.728746
-108.11615,5,9.742244
-100.69575,8,9.754977
-91.51388,15,9.770926
-110.055504,13,9.783546
-103.67088,4,9.783565
-119.36477,21,9.850548
-126.22316,16,9.863537
-114.229225,12,9.904975
-107.79866,15,9.979135
-102.078316,20,9.993094
-106.452644,15,9.993113
-97.501495,8,10.021978
-90.68083,22,10.022052
-103.553825,17,10.022061
-82.124275,22,10.060549
-99.446686,26,10.073964
-101.43265,17,10.103426
-112.2151,10,10.1559
-90.44473,22,10.155921
-93.8189,13,10.169047
-110.64191,12,10.182693
-105.82852,12,10.182711
-102.2493,14,10.182717
-94.49567,18,10.228843
-103.05613,4,10.242769
-101.65558,13,10.242788
-116.32493,14,10.268868
-102.056854,9,10.282128
-99.50189,11,10.33669
-89.90991,19,10.365567
-103.79661,12,10.392944
-85.66334,17,10.392963
-100.214584,16,10.408201
-85.13325,18,10.421903
-96.88094,16,10.461035
-98.034645,16,10.486682
-100.470184,20,10.513918
-110.245186,14,10.527507
-108.70916,9,10.541836
-105.70691,22,10.582459
-109.35486,9,10.58248
-111.98332,8,10.595981
-97.562546,16,10.612217
-82.557396,18,10.612237
-98.807594,16,10.612243
-95.43329,18,10.652212
-103.42791,10,10.665658
-110.58932,7,10.679091
-101.48766,9,10.7218
-93.049904,9,10.774887
-116.83602,14,10.774907
-98.36309,22,10.818945
-93.92302,16,10.8315
-88.7788,22,10.84513
-100.11587,18,10.858354
-101.76937,8,10.886065
-121.16993,13,10.89925
-116.22602,18,10.929222
-109.91593,24,10.942523
-107.97255,10,10.955801
-103.091995,10,10.980995
-125.32457,25,11.008276
-105.48994,9,11.008295
-101.09029,18,11.025394
-100.89746,6,11.025411
-110.62033,9,11.025417
-106.59951,4,11.038621
-100.76346,14,11.052258
-111.6024,11,11.106333
-109.703995,8,11.12025
-101.18898,8,11.136518
-119.88435,17,11.163356
-111.11428,26,11.18933
-93.5888,13,11.202208
-96.31636,13,11.230649
-91.87221,16,11.246183
-105.72919,11,11.273296
-90.14976,19,11.273316
-101.58032,6,11.287144
-117.56612,13,11.314256
-108.89542,5,11.359941
-102.157265,9,11.359961
-104.48628,25,11.38625
-86.812775,18,11.413729
-104.386055,13,11.426756
-95.63765,13,11.45659
-91.536705,26,11.470397
-108.290405,21,11.483413
-101.391014,9,11.483432
-106.572464,6,11.511562
-103.53624,3,11.525591
-100.90108,15,11.598455
-104.4324,24,11.611574
-102.72054,7,11.611593
-85.74316,19,11.625017
-92.227325,17,11.652462
-103.397156,10,11.73471
-105.987305,18,11.734729
-108.37082,21,11.764459
-105.07447,8,11.764493
-97.696465,32,11.764501
-95.02334,23,11.777387
-105.721466,22,11.830198
-99.17444,16,11.844481
-98.39997,20,11.888534
-110.19238,21,11.902214
-105.576164,5,11.902233
-97.27722,10,11.915156
-117.94815,16,11.98482
-100.21639,17,11.999185
-95.02429,20,12.013108
-90.369354,20,12.013127
-102.57317,9,12.026368
-103.21717,19,12.026387
-104.56798,7,12.082215
-105.42768,15,12.122863
-89.33269,17,12.122883
-97.26134,17,12.136248
-105.32187,5,12.150604
-103.21492,23,12.164437
-89.319466,12,12.193568
-106.46865,7,12.221179
-111.96321,16,12.221197
-99.27518,18,12.261097
-108.167625,18,12.261117
-109.72581,9,12.261123
-93.72782,18,12.274315
-112.43435,12,12.289981
-99.41191,11,12.302907
-103.24652,8,12.330383
-101.80998,7,12.355848
-100.120255,10,12.35587
-79.00021,19,12.428562
-107.51605,17,12.428582
-111.10803,11,12.442004
-101.27702,15,12.46784
-98.25644,11,12.480559
-96.40091,19,12.522838
-96.92979,17,12.536864
-99.46836,16,12.576324
-98.666626,11,12.576342
-91.24596,18,12.603122
-101.56223,25,12.617659
-105.26371,15,12.631555
-103.43362,13,12.661582
-102.48884,8,12.688586
-110.21526,9,12.702338
-99.89157,8,12.717735
-84.67729,19,12.731634
-92.732635,23,12.758594
-84.94087,18,12.77193
-101.24922,6,12.785167
-105.89948,5,12.79901
-112.92631,10,12.799029
-80.647675,20,12.813523
-107.94277,4,12.813543
-98.52433,14,12.826418
-104.657684,5,12.839468
-98.093094,12,12.878536
-106.54403,21,12.905818
-106.360886,7,12.905837
-105.13078,6,12.905844
-107.87573,5,12.95062
-102.26059,11,12.95064
-100.93137,11,12.963963
-111.26038,15,13.003608
-101.45042,23,13.003628
-104.915825,5,13.033821
-108.214966,9,13.033841
-103.491745,10,13.046909
-99.61915,8,13.060659
-83.58191,20,13.060679
-96.667534,19,13.100008
-97.124985,14,13.143472
-100.20984,11,13.156205
-110.68125,12,13.16906
-110.23612,10,13.16908
-112.61988,21,13.19644
-105.64111,4,13.19646
-106.31907,13,13.222211
-101.40657,8,13.265196
-105.94027,15,13.265218
-102.98222,7,13.265224
-103.99531,18,13.27926
-103.57928,5,13.29184
-105.89668,21,13.349566
-107.87537,7,13.362559
-102.920494,9,13.390441
-120.49242,21,13.390462
-104.21491,16,13.416929
-101.20499,10,13.430008
-101.489494,14,13.460989
-107.033035,7,13.515383
-97.46435,25,13.515401
-89.000046,17,13.515408
-90.01956,26,13.558792
-106.2897,6,13.598574
-94.00111,18,13.598598
-112.3648,7,13.611867
-101.128654,18,13.611887
-107.54294,13,13.611893
-102.191216,17,13.62494
-109.62334,17,13.624959
-106.83026,13,13.691799
-102.11772,8,13.718512
-102.89311,8,13.718532
-102.02041,9,13.744428
-115.82868,12,13.757644
-112.47101,11,13.773057
-92.83943,23,13.773076
-112.02888,6,13.773082
-105.90581,6,13.798877
-101.90467,5,13.826114
-99.96542,19,14.028481
-90.52806,19,14.042229
-111.618484,9,14.071751
-99.96634,25,14.07177
-106.48031,4,14.085092
-106.88584,13,14.097859
-101.95271,8,14.111784
-100.92794,18,14.139765
-104.01486,17,14.208468
-95.9137,21,14.23482
-120.640045,11,14.293317
-87.06921,17,14.307467
-103.33012,14,14.307486
-75.43009,27,14.321303
-100.67352,19,14.362732
-102.79359,6,14.407123
-98.47044,26,14.407143
-102.161415,9,14.42029
-81.62976,25,14.432921
-107.00354,27,14.445868
-108.27816,8,14.473462
-95.410164,19,14.473481
-107.99933,14,14.503265
-91.48493,16,14.530515
-106.36107,5,14.544616
-94.81785,26,14.599904
-115.28688,16,14.627741
-96.521126,11,14.627759
-106.5809,7,14.627765
-90.90675,18,14.654441
-101.71393,9,14.66763
-102.83382,19,14.681062
-90.65239,17,14.681081
-103.08141,8,14.709415
-101.55722,22,14.736026
-95.687675,19,14.76319
-104.19983,16,14.843773
-106.32865,9,14.856797
-97.988434,12,14.869566
-107.32521,19,14.882774
-92.465034,19,14.882793
-108.066414,20,14.938257
-104.09809,23,14.964975
-108.2038,22,14.97886
-101.02186,7,14.97888
-107.899796,11,15.007671
-98.12317,19,15.021886
-94.363235,27,15.049038
-90.35244,14,15.062695
-99.75922,14,15.07594
-85.5087,18,15.088897
-106.01483,8,15.119374
-109.21375,17,15.172684
-97.325325,18,15.21483
-86.182495,18,15.229523
-86.118225,19,15.243329
-105.87866,17,15.283048
-110.983826,18,15.309212
-104.13578,5,15.309231
-111.94011,16,15.309237
-86.874176,19,15.337486
-106.72564,12,15.337505
-110.514175,8,15.337511
-91.02414,17,15.350533
-88.963326,27,15.392088
-115.79439,15,15.422435
-103.832,9,15.463219
-110.445305,7,15.51576
-115.71236,18,15.558952
-90.91276,16,15.558971
-90.29309,17,15.572512
-125.65324,20,15.585781
-95.84298,21,15.598842
-101.14691,23,15.598867
-101.19332,9,15.640434
-108.3344,23,15.667029
-105.90574,5,15.66705
-107.910164,8,15.693815
-99.00162,23,15.70698
-108.74165,12,15.764234
-108.50358,15,15.764253
-98.635124,15,15.77731
-117.42288,11,15.790996
-107.70935,27,15.831939
-107.14952,9,15.913719
-102.02043,27,15.926995
-100.107445,18,15.943049
-90.89837,22,15.96897
-98.718,22,15.968989
-87.74022,18,16.008976
-108.28586,8,16.021921
-95.215256,21,16.055848
-103.73042,16,16.055874
-110.13984,8,16.05588
-108.31472,21,16.069108
-104.79697,7,16.069127
-86.71579,28,16.095181
-95.05653,11,16.120778
-102.1206,6,16.147551
-107.93346,8,16.16388
-109.08929,11,16.177998
-104.437805,12,16.178017
-108.33434,6,16.178024
-108.78683,11,16.204254
-110.412605,8,16.231564
-90.11691,24,16.261826
-97.96392,15,16.274875
-106.23448,5,16.302259
-107.17105,20,16.330113
-111.43472,11,16.330132
-118.529366,17,16.386378
-103.63622,6,16.386397
-94.87829,17,16.399583
-115.88664,18,16.427362
-101.29197,9,16.453509
-86.71018,19,16.469041
-113.31282,23,16.496804
-106.09845,8,16.496824
-109.14532,8,16.509447
-110.69318,19,16.592508
-89.836105,23,16.592528
-116.20943,25,16.606499
-118.11636,16,16.606519
-101.78107,11,16.619543
-96.16306,16,16.646123
-101.08373,11,16.748485
-119.450195,21,16.748506
-87.50121,19,16.761542
-102.13069,20,16.77551
-110.18573,13,16.790109
-96.674835,8,16.855303
-93.33067,17,16.855322
-107.83273,19,16.868029
-98.85727,26,16.868047
-109.307106,20,16.868053
-100.551506,9,16.911425
-93.89097,19,16.911444
-100.56185,15,16.951795
-108.0928,6,16.951815
-103.51619,5,16.9789
-98.72398,10,16.995198
-104.12871,19,17.020577
-93.503334,19,17.035163
-109.06787,8,17.061535
-111.66504,14,17.061554
-109.879456,7,17.087723
-103.28106,16,17.087743
-92.20376,19,17.116972
-97.41881,13,17.130972
-99.46101,10,17.156757
-86.28425,20,17.18356
-98.81621,12,17.254372
-101.01123,14,17.254396
-128.39151,18,17.280223
-104.80121,16,17.308147
-122.54367,24,17.309328
-107.388565,6,17.335628
-98.546364,21,17.348666
-104.60395,6,17.387606
-104.55777,4,17.401905
-109.47783,21,17.416933
-103.80916,24,17.445543
-84.96939,21,17.445563
-87.44493,23,17.498944
-109.12871,6,17.527558
-101.727684,21,17.540495
-92.50937,20,17.554298
-99.793785,13,17.579735
-109.69337,21,17.594075
-99.8889,14,17.637914
-88.4605,18,17.663705
-102.13317,7,17.677153
-105.92172,10,17.677172
-101.8822,22,17.690476
-113.8815,27,17.703077
-102.82442,15,17.733321
-94.68692,11,17.746705
-102.19929,10,17.77327
-106.99199,8,17.786511
-112.88669,22,17.799981
-111.23724,18,17.800001
-106.74935,10,17.800007
-107.85207,4,17.840766
-111.89034,11,17.853283
-110.543915,12,17.891239
-87.116,18,17.917357
-109.90802,11,17.945227
-110.97826,9,17.959641
-112.82894,14,17.959661
-94.151924,13,17.972553
-107.542984,15,17.999876
-75.75972,23,17.999895
-115.717476,20,18.013468
-101.85825,13,18.02661
-108.99516,8,18.056334
-100.049934,12,18.083596
-102.23808,10,18.096639
-113.209465,10,18.110268
-116.23672,18,18.136617
-96.17026,13,18.136636
-101.34907,12,18.165823
-106.43677,14,18.205781
-100.54829,11,18.205803
-108.11928,11,18.236231
-107.092735,6,18.253099
-111.39804,12,18.266555
-103.85009,19,18.266574
-89.53451,18,18.279367
-99.97917,6,18.291776
-95.48051,12,18.304136
-106.998024,5,18.316789
-104.24779,9,18.423415
-91.71541,27,18.484212
-105.47947,5,18.496849
-94.3745,19,18.496871
-96.76204,21,18.496878
-117.69161,16,18.496883
-111.236626,18,18.509608
-93.5242,19,18.523034
-111.85394,16,18.537512
-101.54258,5,18.5503
-94.658104,21,18.579859
-98.70678,8,18.605726
-104.450806,8,18.605744
-103.66928,9,18.644218
-106.31204,6,18.685941
-108.905235,10,18.712262
-91.63551,16,18.712281
-99.17294,15,18.752812
-81.58372,46,18.765181
-107.15865,19,18.765201
-91.98173,19,18.793794
-105.4887,4,18.821489
-98.5168,10,18.821508
-110.107086,17,18.835033
-104.66169,4,18.877461
-117.00369,12,18.87748
-108.14172,28,18.877486
-105.8056,5,18.890314
-108.96619,17,18.942536
-99.28613,17,18.984565
-99.500824,17,18.999012
-106.21695,9,18.999031
-103.91209,7,19.038784
-98.299095,30,19.052131
-95.97423,19,19.052149
-96.885025,12,19.052155
-104.06235,7,19.080942
-109.70441,7,19.094596
-98.628204,17,19.108164
-105.24983,6,19.121328
-88.726,21,19.121347
-94.68814,20,19.149031
-121.83709,13,19.174148
-110.03549,9,19.174167
-101.60653,7,19.174173
-104.542076,6,19.204841
-93.47776,18,19.299578
-103.12511,19,19.313443
-116.01232,17,19.339813
-91.57066,19,19.35302
-104.815216,18,19.365403
-107.21765,6,19.391679
-125.58229,17,19.407408
-101.007286,21,19.433984
-92.56906,19,19.434004
-107.89366,5,19.43401
-101.12784,9,19.460307
-108.78037,20,19.473572
-102.31656,6,19.47359
-99.687126,24,19.504456
-102.4276,6,19.544847
-100.37786,18,19.544868
-101.91693,9,19.55775
-101.712105,12,19.571608
-96.13918,11,19.625483
-122.717255,22,19.652008
-91.92607,19,19.692376
-101.33177,17,19.70538
-101.80251,15,19.705398
-116.99131,14,19.732782
-100.83121,8,19.732801
-94.95744,17,19.785333
-102.11524,26,19.785353
-88.955536,19,19.798356
-100.01362,15,19.85425
-89.72609,22,19.867862
-105.095474,12,19.894997
-112.637,16,19.908436
-98.317825,12,19.949631
-106.02386,16,19.94965
-97.13875,18,19.949656
-101.35089,13,19.962827
-108.187225,5,19.962846
-105.61465,10,20.001709
-104.75699,8,20.015105
-102.23982,13,20.03304
-108.24322,6,20.033059
-91.91599,26,20.058928
-103.07057,19,20.058947
-115.20603,16,20.165411
-100.777855,11,20.177872
-110.674995,14,20.190621
-88.32867,20,20.215956
-100.62074,20,20.2289
-92.391,18,20.2566
-88.47245,17,20.256619
-103.472374,8,20.282708
-106.842896,5,20.282727
-108.82219,8,20.296034
-87.046364,18,20.296053
-93.82539,26,20.310062
-92.331924,24,20.376027
-113.60673,9,20.376046
-103.05884,13,20.431323
-89.11786,16,20.448156
-93.73352,13,20.460966
-112.56535,26,20.512801
-101.52772,17,20.526376
-86.73456,18,20.539195
-118.147865,12,20.539213
-110.389206,19,20.567561
-100.97557,11,20.580268
-106.36052,10,20.592838
-94.31447,26,20.633625
-100.45902,19,20.633644
-109.9027,9,20.648391
-97.32815,13,20.689247
-109.602425,8,20.701831
-106.47104,13,20.714161
-105.57462,12,20.727427
-107.31494,6,20.727445
-104.520584,12,20.739781
-104.56818,6,20.780454
-92.47673,26,20.793637
-98.66342,6,20.80748
-115.31666,14,20.82025
-107.82624,11,20.865453
-91.882935,18,20.882402
-103.277214,27,20.914529
-91.901085,19,20.955785
-106.12219,6,20.955805
-102.99784,13,20.983893
-107.31205,19,20.997607
-91.82523,22,21.050411
-99.59512,20,21.064462
-90.72073,20,21.106015
-98.96322,16,21.106035
-107.782104,22,21.119967
-108.55517,13,21.159807
-96.32565,18,21.159827
-89.45383,20,21.228199
-110.99092,9,21.22822
-98.85275,20,21.228226
-84.57231,21,21.281552
-84.83496,18,21.294384
-120.5034,18,21.307144
-110.32078,7,21.319978
-107.964264,12,21.319997
-92.22106,16,21.332604
-102.95127,3,21.345485
-110.13608,14,21.345504
-102.9488,14,21.41426
-93.65234,24,21.428998
-101.48341,11,21.480985
