#{"t_start": 1741225153.7852576, "env_id": "None"}
r,l,t
-106.50788,4,0.080493
-108.54624,7,0.122486
-99.72826,9,0.148844
-108.730804,10,0.161477
-102.07085,15,0.230413
-110.33364,15,0.230434
-115.89911,16,0.246682
-110.17998,10,0.260946
-86.75958,18,0.274238
-96.75769,20,0.30239
-101.00793,21,0.316358
-96.1973,17,0.316379
-98.11164,11,0.316386
-106.01548,6,0.334147
-103.266464,8,0.34829
-104.836784,4,0.362553
-105.18121,10,0.37631
-107.550644,6,0.403663
-107.290695,4,0.403682
-110.58261,6,0.403688
-99.50958,10,0.417254
-104.797005,4,0.417273
-91.149155,19,0.417278
-98.89148,13,0.446278
-94.42304,11,0.473744
-104.22601,6,0.500991
-121.433205,14,0.527347
-105.990944,5,0.542693
-107.90367,10,0.542713
-100.9611,7,0.542719
-103.712685,10,0.556043
-107.02661,12,0.568559
-102.856384,5,0.595842
-111.78821,7,0.595868
-93.74064,18,0.65024
-105.27455,10,0.676179
-97.21501,22,0.676198
-108.31004,21,0.701424
-100.8873,14,0.72775
-97.50811,10,0.727769
-102.60842,15,0.755587
-105.063095,10,0.781358
-94.66075,17,0.795748
-100.25916,7,0.795767
-103.25264,10,0.809579
-102.68924,7,0.824892
-107.68703,10,0.893964
-101.3248,7,0.907563
-92.9361,23,0.907581
-96.8298,28,0.921179
-101.560715,9,0.9212
-119.34533,10,0.962431
-94.884415,17,0.962451
-112.04622,13,0.975281
-107.980865,6,0.98904
-107.05982,25,1.016535
-104.82287,8,1.070697
-91.9264,21,1.070715
-113.04766,12,1.083225
-107.57096,15,1.097416
-92.209,19,1.178515
-108.1944,9,1.191986
-105.19545,8,1.192004
-98.24436,18,1.205557
-111.78837,17,1.205576
-96.035934,23,1.219055
-94.90454,15,1.219074
-111.54788,17,1.219079
-105.837135,11,1.219083
-95.50911,10,1.32745
-92.64256,18,1.341093
-97.60391,13,1.397808
-108.81712,6,1.411514
-104.962105,16,1.411532
-106.166374,20,1.449833
-93.90087,17,1.449851
-103.2627,19,1.462558
-94.81887,18,1.462577
-108.09637,6,1.476709
-87.8255,19,1.476727
-96.10888,24,1.533167
-106.506256,7,1.559753
-106.04519,14,1.602333
-97.32143,9,1.602352
-102.428116,19,1.602358
-94.99249,19,1.669236
-101.24713,17,1.682548
-117.48156,22,1.753249
-96.03909,11,1.753269
-120.57332,19,1.795228
-117.21189,24,1.796405
-103.24682,24,1.80943
-110.33386,16,1.823177
-99.665665,21,1.848248
-106.43097,6,1.874714
-91.96444,24,1.932606
-111.69859,9,1.944865
-78.90452,21,1.957368
-99.825836,15,1.957385
-97.17604,20,1.957391
-99.736824,10,1.984455
-105.25398,4,2.014862
-103.11228,19,2.014883
-93.870384,18,2.042694
-107.28517,6,2.042713
-110.20899,7,2.081845
-92.41789,22,2.107683
-105.7207,14,2.125598
-90.501724,19,2.138759
