Wall time,Step,Value
1741809686.1536098,20480,-118.0461654663086
1741809720.6956983,40960,-117.693603515625
1741809755.4115033,61440,-122.51185607910156
1741809790.2128978,81920,-125.14653015136719
1741809825.185366,102400,-125.5263442993164
1741809860.2902868,122880,-130.66285705566406
1741809895.486894,143360,-132.2560577392578
1741809930.8533602,163840,-130.8507843017578
1741809966.1506047,184320,-124.91864013671875
1741810001.5311787,204800,-128.4211883544922
1741810036.9580922,225280,-128.7983856201172
1741810072.3397615,245760,-124.4698715209961
1741810107.9892125,266240,-121.98359680175781
1741810143.5565622,286720,-118.92314147949219
1741810179.0182343,307200,-122.6856460571289
1741810214.5267177,327680,-124.3388900756836
1741810250.094462,348160,-120.04937744140625
1741810285.8183272,368640,-119.62675476074219
1741810321.320871,389120,-117.41716003417969
1741810357.013555,409600,-116.8994140625
1741810393.15636,430080,-119.14120483398438
1741810428.9539924,450560,-119.22886657714844
1741810464.5653977,471040,-117.68163299560547
1741810500.2761087,491520,-118.91053009033203
1741810535.9521625,512000,-118.0962142944336
1741810571.6878963,532480,-121.42520141601562
1741810607.2619495,552960,-118.95893859863281
1741810642.9208086,573440,-120.08384704589844
1741810678.7205594,593920,-120.54004669189453
1741810714.430433,614400,-119.70105743408203
1741810750.0548313,634880,-123.77912139892578
1741810785.754531,655360,-119.42745208740234
1741810821.041135,675840,-117.91667938232422
1741810856.3455846,696320,-119.34081268310547
1741810891.4337828,716800,-118.5712661743164
1741810926.2962162,737280,-118.25923919677734
1741810960.979111,757760,-120.105224609375
1741810995.7472029,778240,-119.4360122680664
1741811030.2029421,798720,-120.20306396484375
1741811064.7613811,819200,-123.85910034179688
1741811099.3484368,839680,-121.43806457519531
1741811134.525765,860160,-117.61624908447266
1741811169.0261211,880640,-119.40914154052734
1741811203.5959642,901120,-120.45027160644531
1741811238.383211,921600,-123.89984130859375
1741811273.2087524,942080,-118.65076446533203
1741811307.8131223,962560,-122.07086944580078
1741811342.5763404,983040,-120.63961029052734
1741811377.2135155,1003520,-120.75662994384766
1741811412.0417862,1024000,-120.91206359863281
1741811446.5457416,1044480,-118.87509155273438
1741811481.0326242,1064960,-119.32450866699219
1741811515.6660528,1085440,-120.1623306274414
1741811550.3090186,1105920,-119.57142639160156
1741811584.7538073,1126400,-119.82030487060547
1741811619.2280257,1146880,-119.55848693847656
1741811653.7894564,1167360,-121.26049041748047
1741811688.3727398,1187840,-125.56092834472656
1741811722.7605956,1208320,-128.57382202148438
1741811757.24087,1228800,-123.00930786132812
1741811791.819749,1249280,-121.14598846435547
1741811826.3302824,1269760,-120.69258880615234
1741811861.1801438,1290240,-116.83499145507812
1741811895.7469893,1310720,-120.81156158447266
1741811930.2318635,1331200,-120.5525131225586
1741811964.7874253,1351680,-118.39396667480469
1741811999.2689762,1372160,-127.9566421508789
1741812033.7503624,1392640,-125.69188690185547
1741812068.236471,1413120,-132.44534301757812
1741812102.746425,1433600,-127.79090881347656
1741812137.3094275,1454080,-129.8741455078125
1741812171.8663654,1474560,-136.00131225585938
1741812206.4980335,1495040,-132.2306671142578
1741812241.0361743,1515520,-130.76217651367188
1741812275.5509636,1536000,-129.85447692871094
1741812310.1648052,1556480,-128.49185180664062
1741812344.719887,1576960,-127.20250701904297
1741812379.1545494,1597440,-127.76705169677734
1741812413.610844,1617920,-127.41960144042969
1741812448.2076888,1638400,-130.5011749267578
1741812482.6579828,1658880,-128.01866149902344
1741812517.0776324,1679360,-128.28280639648438
1741812551.4999216,1699840,-134.2974090576172
1741812586.5568683,1720320,-133.8519744873047
1741812621.1081526,1740800,-129.97369384765625
1741812655.5113556,1761280,-135.08160400390625
1741812690.2271695,1781760,-133.99681091308594
1741812724.9501202,1802240,-131.15940856933594
1741812759.7344308,1822720,-133.84434509277344
