Wall time,Step,Value
1741654240.6646476,20480,-103.05303955078125
1741654275.22021,40960,-104.05683898925781
1741654309.9282947,61440,-103.08521270751953
1741654344.9806683,81920,-101.81405639648438
1741654380.357942,102400,-97.3578872680664
1741654417.8071184,122880,-100.08621978759766
1741654455.645156,143360,-97.89149475097656
1741654493.498196,163840,-94.79548645019531
1741654531.4763796,184320,-95.92798614501953
1741654569.2427275,204800,-34.5591926574707
1741654606.9209805,225280,64.47439575195312
1741654644.6616495,245760,113.86202239990234
1741654682.2968109,266240,120.44953918457031
1741654720.119526,286720,177.29925537109375
1741654757.9029503,307200,188.04257202148438
1741654795.7327538,327680,222.7382049560547
1741654833.7155797,348160,234.5501708984375
1741654871.929489,368640,236.68026733398438
1741654910.0414057,389120,251.8867645263672
1741654948.2500072,409600,266.5931701660156
1741654988.0151742,430080,259.4222717285156
1741655025.863147,450560,250.12557983398438
1741655063.4922745,471040,275.4615478515625
1741655101.1798549,491520,290.9024353027344
1741655138.7370663,512000,295.56072998046875
1741655176.1816177,532480,274.8007507324219
1741655213.392379,552960,280.2283630371094
1741655250.6695068,573440,301.58282470703125
1741655288.144327,593920,306.40936279296875
1741655325.9291735,614400,310.93450927734375
1741655363.6295755,634880,302.7978820800781
1741655401.25533,655360,303.32977294921875
1741655439.0725563,675840,244.3737335205078
1741655476.917105,696320,239.19940185546875
1741655514.7122688,716800,271.7333984375
1741655552.4626122,737280,282.2257995605469
1741655590.2837384,757760,278.3104553222656
1741655628.0440636,778240,286.36260986328125
1741655665.8745313,798720,308.666015625
1741655703.8377607,819200,320.47174072265625
1741655741.9290783,839680,317.90655517578125
1741655781.3372135,860160,305.843505859375
1741655819.3977137,880640,296.1280212402344
1741655857.5923092,901120,301.3972473144531
1741655895.6746662,921600,308.66839599609375
1741655933.7696922,942080,325.70379638671875
1741655971.930961,962560,325.7302551269531
1741656010.1104176,983040,326.3832092285156
1741656048.3369935,1003520,328.0786437988281
1741656086.6182606,1024000,325.07501220703125
1741656124.9460697,1044480,329.149658203125
1741656163.1719058,1064960,322.7041015625
1741656201.6785798,1085440,307.6553649902344
1741656239.7232928,1105920,319.8348388671875
1741656277.9079263,1126400,311.4856262207031
1741656316.399932,1146880,327.1979064941406
1741656354.6409762,1167360,323.0632019042969
1741656392.8628938,1187840,328.941650390625
1741656431.1466255,1208320,331.9447326660156
1741656469.3087804,1228800,331.2149658203125
1741656507.5433407,1249280,301.0193176269531
1741656545.8828173,1269760,319.4305419921875
1741656585.529795,1290240,307.5030212402344
1741656623.7430882,1310720,319.45196533203125
1741656661.883184,1331200,314.37310791015625
1741656700.204198,1351680,299.9678039550781
1741656738.2714932,1372160,314.3203125
1741656776.2489643,1392640,325.154541015625
1741656814.2683938,1413120,333.90020751953125
1741656852.2408206,1433600,335.3327331542969
1741656890.1665208,1454080,333.2578430175781
1741656928.1142395,1474560,325.44964599609375
1741656965.9419618,1495040,327.2757873535156
1741657004.0916188,1515520,313.5171813964844
1741657042.1324992,1536000,254.1650390625
1741657079.8500872,1556480,268.89373779296875
1741657117.5849864,1576960,263.5162353515625
1741657155.284807,1597440,296.896484375
1741657192.888477,1617920,317.4468078613281
1741657230.499825,1638400,324.5965576171875
1741657268.2074523,1658880,320.2686767578125
1741657305.7563863,1679360,299.81158447265625
1741657343.3677232,1699840,294.86737060546875
