Wall time,Step,Value
1741654240.66462,20480,17.3799991607666
1741654275.2201865,40960,18.350000381469727
1741654309.9282713,61440,20.270000457763672
1741654344.9806433,81920,25.219999313354492
1741654380.3579187,102400,38.369998931884766
1741654417.807095,122880,44.9900016784668
1741654455.645132,143360,53.45000076293945
1741654493.4981718,163840,61.970001220703125
1741654531.4763546,184320,72.0199966430664
1741654569.2427053,204800,124.86000061035156
1741654606.9209557,225280,170.6699981689453
1741654644.6616256,245760,182.52000427246094
1741654682.2967877,266240,184.08999633789062
1741654720.1195016,286720,197.0800018310547
1741654757.902925,307200,198.4499969482422
1741654795.7327309,327680,199.0
1741654833.7155564,348160,199.0
1741654871.9294667,368640,199.0
1741654910.0413823,389120,199.0
1741654948.2499828,409600,199.0
1741654988.0151505,430080,199.0
1741655025.8631234,450560,199.0
1741655063.4922485,471040,199.0
1741655101.179831,491520,199.0
1741655138.7370422,512000,199.0
1741655176.1815956,532480,199.0
1741655213.3923542,552960,199.0
1741655250.6694849,573440,199.0
1741655288.1443052,593920,199.0
1741655325.9291515,614400,199.0
1741655363.6295512,634880,199.0
1741655401.255305,655360,199.0
1741655439.0725343,675840,199.0
1741655476.9170787,696320,199.0
1741655514.7122476,716800,199.0
1741655552.4625878,737280,199.0
1741655590.2837162,757760,199.0
1741655628.0440376,778240,199.0
1741655665.8745067,798720,199.0
1741655703.8377385,819200,199.0
1741655741.9290564,839680,199.0
1741655781.3371894,860160,199.0
1741655819.3976905,880640,199.0
1741655857.592285,901120,199.0
1741655895.6746418,921600,199.0
1741655933.7696705,942080,199.0
1741655971.9309351,962560,199.0
1741656010.110394,983040,199.0
1741656048.3369687,1003520,199.0
1741656086.6182384,1024000,199.0
1741656124.9460473,1044480,199.0
1741656163.17188,1064960,199.0
1741656201.6785579,1085440,199.0
1741656239.72327,1105920,199.0
1741656277.9079041,1126400,199.0
1741656316.3999064,1146880,199.0
1741656354.6409523,1167360,199.0
1741656392.8628716,1187840,199.0
1741656431.146602,1208320,199.0
1741656469.3087583,1228800,199.0
1741656507.5433156,1249280,199.0
1741656545.8827953,1269760,199.0
1741656585.5297718,1290240,199.0
1741656623.7430632,1310720,199.0
1741656661.8831608,1331200,199.0
1741656700.2041762,1351680,199.0
1741656738.2714703,1372160,199.0
1741656776.2489402,1392640,199.0
1741656814.2683706,1413120,199.0
1741656852.2407978,1433600,199.0
1741656890.1664987,1454080,199.0
1741656928.1142175,1474560,199.0
1741656965.9419384,1495040,199.0
1741657004.0915952,1515520,199.0
1741657042.1324756,1536000,199.0
1741657079.850064,1556480,199.0
1741657117.5849626,1576960,199.0
1741657155.2847826,1597440,199.0
1741657192.8884535,1617920,199.0
1741657230.4998019,1638400,199.0
1741657268.2074277,1658880,199.0
1741657305.7563627,1679360,199.0
1741657343.367699,1699840,199.0
1741657382.6022346,1720320,199.0
1741657420.222469,1740800,199.0
1741657457.7563791,1761280,199.0
1741657495.384674,1781760,199.0
1741657533.0636432,1802240,199.0
1741657570.5572014,1822720,199.0
1741657608.1580791,1843200,199.0
1741657645.7863848,1863680,199.0
1741657683.1760068,1884160,199.0
1741657720.682751,1904640,199.0
1741657758.0143836,1925120,199.0
1741657795.2995944,1945600,199.0
1741657832.5467424,1966080,199.0
1741657869.7357574,1986560,199.0
1741657906.7003794,2007040,199.0
1741657943.7349734,2027520,199.0
1741657980.7438517,2048000,199.0
1741658017.629292,2068480,199.0
1741658054.506148,2088960,199.0
1741658091.4957604,2109440,199.0
1741658128.3050659,2129920,199.0
1741658166.6447706,2150400,199.0
1741658203.4749792,2170880,199.0
1741658240.3543715,2191360,199.0
1741658277.0759656,2211840,199.0
1741658313.850865,2232320,199.0
1741658350.5850604,2252800,199.0
1741658387.2424014,2273280,199.0
1741658424.004145,2293760,199.0
1741658460.8008597,2314240,199.0
1741658497.3725216,2334720,199.0
1741658534.0088031,2355200,199.0
1741658570.6799135,2375680,199.0
1741658607.2396944,2396160,199.0
1741658643.9001117,2416640,199.0
