,cae_mean,cae_std,ce_mean,ce_std
0.0,77.19647297309672,1.4210854715202004e-14,94.69414959661663,0.0
0.0025,84.43386751885147,3.108077447887845,141.79565223994666,4.905730922051879
0.005,99.52565394114245,6.185088390227531,227.97589968641287,12.821615709508611
0.0075,119.46364336253033,7.38187197070151,317.1526907005906,14.195278828612668
0.01,143.3523080726486,8.850850033869017,386.47232156410814,15.970495877515212
0.02,245.38715245043318,21.299601196049373,542.6364917494263,16.62375349049879
0.03,340.5958461599198,38.92118773159628,613.5913096648734,16.64127592895607
